city,state,lat,lng
Gainesville,GA,34.2902,-83.8294
Newport News,VA,37.1051,-76.5185
Gastonia,NC,35.2494,-81.1854
Spring Hill,FL,28.4798,-82.53
Ontario,CA,34.0393,-117.6064
Aurora,IL,41.7638,-88.2902
Cary,NC,35.7819,-78.8195
Elk Grove,CA,38.4161,-121.3842
Panama City,FL,30.1995,-85.6003
Rancho Cucamonga,CA,34.1247,-117.5667
High Point,NC,35.991,-79.9937
Danbury,CT,41.4015,-73.4709
Salinas,CA,36.6883,-121.6317
Pembroke Pines,FL,26.0128,-80.3382
Vallejo,CA,38.1125,-122.2342
Oceanside,CA,33.2247,-117.3083
Leesburg,FL,28.7672,-81.8962
Garden Grove,CA,33.7787,-117.9601
Muskegon,MI,43.2281,-86.2562
Medford,OR,42.3372,-122.854
Tuscaloosa,AL,33.2348,-87.5268
Lancaster,CA,34.6935,-118.1753
Visalia,CA,36.3276,-119.3269
Manchester,NH,42.9848,-71.4447
Norwich,CT,41.5495,-72.0882
Bayamón,PR,18.3794,-66.1635
Marysville,WA,48.0809,-122.1561
Lafayette,IN,40.3991,-86.8593
Palmdale,CA,34.5944,-118.1057
Santa Cruz,CA,36.9789,-122.0346
Odessa,TX,31.8801,-102.3448
New Bedford,MA,41.6697,-70.9428
Merced,CA,37.3057,-120.4779
Corona,CA,33.8616,-117.5649
Hayward,CA,37.6328,-122.0766
Paterson,NJ,40.9147,-74.1624
Binghamton,NY,42.1014,-75.9093
Springfield,IL,39.7709,-89.654
Alexandria,VA,38.8185,-77.0861
Lakewood,CO,39.6977,-105.1172
Macon,GA,32.8065,-83.6974
Roseville,CA,38.7703,-121.3196
Kansas City,KS,39.1235,-94.7443
Hollywood,FL,26.0293,-80.1679
Surprise,AZ,33.6815,-112.4515
Sunnyvale,CA,37.3836,-122.0255
Champaign,IL,40.1142,-88.2737
Lake Charles,LA,30.201,-93.2111
Burlington,NC,36.076,-79.4685
Bellevue,WA,47.5951,-122.1535
Fairfield,CA,38.2583,-122.0335
Naperville,IL,41.748,-88.1659
Joliet,IL,41.5188,-88.1499
Elkhart,IN,41.6916,-85.9627
Escondido,CA,33.1348,-117.0723
Pasadena,TX,29.6575,-95.1498
Mesquite,TX,32.7602,-96.5865
Midland,TX,32.0243,-102.1147
Columbia,MO,38.9472,-92.3268
Warner Robins,GA,32.5961,-83.6527
St. George,UT,37.0758,-113.5752
Pomona,CA,34.0585,-117.7626
